gene,effect_size,t_p,u_p,n_tnbc,n_other,t_q,u_q,pan_cancer_mean_effect,median_log2_rsem_tnbc_tumor,median_log2_tumor,median_log2_normal_breast,log2fc_tumor_vs_normal,tumor_vs_normal_p,tumor_vs_normal_q,gtex_critical_tissue_max_tpm,safety_flag,Protein class,Subcellular main location,Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation),rank_essential,rank_tumor,combined_rank,n_patients,logrank_p,logrank_q,hazard_ratio,cox_p,hazard_ratio_adj,cox_p_adj,cox_q,cox_q_adj
LY6E,-0.123066648437114,0.0007089106449425,0.0002330754805248,25,1181,0.165079637642357,0.1174190255029739,0.0339141748000437,13.025522837493924,12.295337008134034,11.761821177641895,0.5335158304921368,3.8408090428948825e-08,6.145294468631813e-08,175.538,high,"Predicted intracellular proteins, Predicted membrane proteins",,unprognostic (1.81e-1),unprognostic (5.44e-1),5.0,11.0,16.0,142,0.41861653804393384,0.685972316094003,1.6154791295025563,0.018897061230096976,1.7353039443041702,0.0024140479683992084,0.2834559184514546,0.03621071952598812
HPRT1,-0.0943893920954576,0.0075391860870888,0.0013701944428757,25,1181,0.315487698071931,0.1779825658970119,0.0508471582705592,10.018811882209976,9.489806023353625,8.605814676562842,0.8839913467907827,8.097571515816417e-42,4.627183723323666e-41,16.0673,moderate,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Cytosol,unprognostic (1.66e-1),unprognostic (6.03e-2),18.5,2.0,20.5,142,0.3137010012137829,0.6610122773745858,0.5039306577972178,0.05729854082102633,0.6943338518230283,0.37061838878900544,0.3779259770099974,0.7941822616907259
SH3BP5L,-0.1159760133323456,0.0026666171508994,0.0009273366078413,25,1181,0.2414904653170567,0.1662081822058303,-0.2138554690579404,10.213129121000138,10.053053893674216,9.472163462142523,0.5808904315316923,3.853630732735472e-34,1.541452293094189e-33,37.5506,high,Predicted intracellular proteins,"Nucleoplasm, Golgi apparatus, Vesicles",unprognostic (1.15e-1),unprognostic (8.13e-2),12.0,4.0,16.0,142,0.07696322607328417,0.6610122773745858,0.47438566163250756,0.08770953370399473,0.614981891237884,0.2355281385405923,0.3779259770099974,0.7941822616907259
PSMD9,-0.0843520046066085,0.0016073557284115,0.0011276926774526,25,1181,0.2057679711330057,0.1713615033847818,-0.2455289017778086,9.641924653297874,9.709892667068596,9.446694488401253,0.2631981786673432,8.580800803845806e-10,1.4301334673076347e-09,21.2564,high,"Plasma proteins, Predicted intracellular proteins",Cytosol,unprognostic (3.32e-3),unprognostic (3.67e-2),15.5,10.0,25.5,142,0.8999251884984225,0.9642055591054527,1.986996305093996,0.10078026053599931,2.432344371882783,0.05336919431079257,0.3779259770099974,0.40026895733094425
BROX,-0.0971610285994502,0.0002720651612899,1.06946815943644e-05,25,1181,0.1201315133568057,0.0273951908097925,0.1283650469649588,8.685034485352968,8.975443612894859,8.73643183607772,0.2390117768171382,5.5565461735131454e-05,7.93792310501878e-05,12.2924,moderate,Predicted intracellular proteins,Golgi apparatus,unprognostic (4.61e-2),,1.0,14.0,15.0,142,0.29449230301104073,0.6610122773745858,0.7930384266422668,0.21870496011144266,0.8486981845091651,0.437936092292612,0.656114880334328,0.8211301730486474
STK11IP,-0.093484914880564,0.0016360793715492,0.0011439355122996,25,1181,0.2057679711330057,0.1723689720255824,0.0938875096565433,8.73940834269526,8.742698144969516,8.324004128344228,0.4186940166252881,3.0515324148197434e-19,6.7811831440438745e-19,17.357,moderate,Predicted intracellular proteins,Vesicles,unprognostic (8.69e-2),unprognostic (1.05e-2),17.0,7.0,24.0,142,0.35253988126644575,0.6610122773745858,1.4091613566918968,0.35721809618898104,1.0655166435569745,0.862217145587419,0.805124317893733,0.9238040845579489
CLTB,-0.1059013913599644,0.0001042788569256,0.0001138978828032,25,1181,0.0767546000955002,0.0891731947721538,-0.1277658529578371,10.177234851721083,9.95812172747709,9.679252860443189,0.2788688670339017,2.970404583736706e-05,4.400599383313638e-05,120.638,high,"Plasma proteins, Predicted intracellular proteins, Transporters",Vesicles,unprognostic (1.76e-1),unprognostic (7.25e-2),4.0,13.0,17.0,142,0.10277411184176945,0.6610122773745858,1.2431253065444752,0.37572468168374207,1.2802850338976375,0.31644799817909086,0.805124317893733,0.7941822616907259
POFUT1,-0.1012167265792023,7.371205028128337e-05,4.710500590025272e-05,25,1181,0.0761914935755463,0.0703866550664526,-0.0525331792946807,10.882357323759663,11.020575261041618,10.928607164123246,0.0919680969183716,0.0007641391329154,0.0009551739161443,17.1008,moderate,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Centrosome,unprognostic (6.38e-2),unprognostic (1.26e-3),3.0,16.0,19.0,142,0.8044320329958276,0.9642055591054527,0.7286981372107341,0.4714754824420747,0.47124899147923166,0.1866940716564553,0.8840165295788901,0.7941822616907259
CREB3L4,-0.0647942918702832,0.0011198064563161,0.0005091180326991,25,1181,0.1912309482686258,0.1480718106386733,-0.0571949947660201,9.773861944655131,11.13804014389244,9.668256728500277,1.4697834153921647,5.464348217588784e-34,1.9870357154868305e-33,7.13293,moderate,"Predicted intracellular proteins, Predicted membrane proteins, Transcription factors","Nucleoplasm, Nuclear membrane",unprognostic (9.43e-2),unprognostic (2.11e-2),8.5,5.0,13.5,142,0.9958294692042944,0.9958294692042944,1.1248350595677292,0.6131295645121226,1.1057309939784403,0.6975562144509535,0.9588405787539998,0.9030932407560959
APRT,-0.1135863776910247,0.0032844120359651,0.0005202456120816,25,1181,0.2549471524540703,0.1480718106386733,-0.1543642260068986,10.717639711291142,10.431797081259992,9.99635172109758,0.4354453601624133,4.155503598224023e-12,7.555461087680041e-12,126.367,high,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Nucleoplasm, Cytosol",unprognostic (3.06e-2),unprognostic (6.73e-2),8.5,9.0,17.5,142,0.31917846721282905,0.6610122773745858,1.1300838581710064,0.6662114524685415,1.1521258669663548,0.6182788567308075,0.9588405787539998,0.9030932407560959
