gene,effect_size,t_p,u_p,n_tnbc,n_other,t_q,u_q,pan_cancer_mean_effect,median_log2_rsem_tnbc_tumor
SIGLEC8,-0.08139926442345702,0.024790874243159094,0.0007864097229587992,25,1181,0.4133464899823431,0.16535959242124867,-0.08667615072740915,4.521495299563245
SH3BP5L,-0.11597601333234564,0.002666617150899405,0.0009273366078413688,25,1181,0.24149046531705673,0.1662081822058303,-0.21385546905794048,10.213129121000138
TEKT4,-0.12927050933298143,0.003282570612431076,0.0009725649494323908,25,1181,0.25494715245407035,0.1662081822058303,-0.2381437298064445,1.7141052770810834
RBM6,-0.10977830336901204,0.0023034624149374304,0.0008914524296070237,25,1181,0.22980854016332,0.1662081822058303,-0.12235055559095918,10.081071055617326
DNAJB12,-0.10135460571929289,0.0014670136817853255,0.0009605733048133158,25,1181,0.20284919223340844,0.1662081822058303,-0.2636941515913685,10.152982529170536
KIF2C,-0.15004746371924982,0.004980266418429989,0.0010010865918370238,25,1181,0.29375380641075044,0.1662081822058303,-0.34322492857306547,10.13725265041818
BNIP3L,-0.06560262455550793,0.0006299427607115395,0.0008497367035960099,25,1181,0.156881995032203,0.1662081822058303,0.17560273360787076,10.80943930708605
RORA,-0.08452436996395823,0.001277190646190433,0.000862237088747214,25,1181,0.1940788599732259,0.1662081822058303,0.015702238824093502,8.197591476104666
BIRC7,-0.06547006383590033,0.0008880176225446044,0.0010388952429732342,25,1181,0.1752292510688812,0.16782369911489245,0.15762686208254198,1.4775720876760183
PCSK7,-0.09640675466570134,0.0018505663649327905,0.0010980917737997847,25,1181,0.20869500307930733,0.17136150338478184,-0.0360207068687889,9.529216149990077
GJB3,-0.10027875345942783,0.007343476048325432,0.001113940231325769,25,1181,0.3125579295597886,0.17136150338478184,-0.09933126857383111,7.14077025012031
PSMD9,-0.0843520046066085,0.001607355728411591,0.001127692677452694,25,1181,0.20576797113300574,0.17136150338478184,-0.2455289017778086,9.641924653297874
STK11IP,-0.09348491488056408,0.0016360793715492466,0.00114393551229961,25,1181,0.20576797113300574,0.1723689720255824,0.09388750965654338,8.73940834269526
GRIA4,-0.06355448659473541,0.007313873105629604,0.0013701944428757655,25,1181,0.3125579295597886,0.1779825658970119,0.033092757542561475,1.498414201567349
HPRT1,-0.09438939209545764,0.007539186087088856,0.0013701944428757655,25,1181,0.31548769807193106,0.1779825658970119,0.05084715827055922,10.018811882209977
NPHP4,-0.07498841747897174,0.0024679953362682465,0.001389635783033945,25,1181,0.23197575398849446,0.1779825658970119,-0.1054737164886919,8.044233692905799
SORBS1,-0.05983666057181272,0.0021998239134521425,0.0014121657734327163,25,1181,0.22806111872222962,0.17867933136892986,0.10827035302699849,9.472591045238039
PRRC2A,-0.15823080632120856,0.0017827349923598304,0.0014758712061505594,25,1181,0.20576797113300574,0.18377671248253943,-0.5172345100133428,13.05339548465995
ABCC6,-0.09918208294800325,0.0015360760992252738,0.0016223172024638645,12,370,0.20284919223340844,0.18889460881415296,-0.04648180663672914,4.0456564862314135
