gene,effect_size,t_p,u_p,n_tnbc,n_other,t_q,u_q,pan_cancer_mean_effect,median_log2_rsem_tnbc_tumor
MSMO1,0.10505076447191398,8.95407806776066e-05,0.0008933085137935343,25,1181,0.07619149357554636,0.1662081822058303,0.11841009813912834,9.734004484039229
UFSP2,0.1757268215289533,6.636636609829711e-05,0.0001579395910591878,25,1181,0.07619149357554636,0.09440049357607655,-0.1549129702845359,8.72149118324935
CD69,0.07351108512338048,8.746141383529135e-05,0.0002688351335275428,25,1181,0.07619149357554636,0.11971237350806783,0.1097354126601109,6.4730818512796535
PDAP1,0.21775584025906225,5.790051541359003e-05,0.001206177975803133,25,1181,0.07619149357554636,0.17556784819530585,-1.0470395828334365,11.450204321888476
NOTCH1,0.06535303397768182,8.303791984911414e-05,0.001263831267083645,25,1181,0.07619149357554636,0.17669286988403096,-0.004068621885453416,10.748477257889046
GPAT3,-0.07250471666711503,9.773043066407709e-05,3.149325932447215e-05,25,1181,0.07619149357554636,0.056470563294711014,0.05032294326437527,6.589962634862108
WDR59,0.14051290985413264,4.984847615654428e-05,0.0019858279186932277,25,1181,0.07619149357554636,0.20904888039980823,-0.33169136777495806,9.278918058752303
ODR4,0.11429514418414324,9.721435342372488e-05,0.002709405301649656,25,1181,0.07619149357554636,0.22596440215758132,-0.3185948745288349,9.324318374895228
CLTB,-0.1059013913599644,0.00010427885692564728,0.00011389788280329261,25,1181,0.07675460009550022,0.08917319477215381,-0.1277658529578371,10.177234851721083
CCDC82,-0.0793582481551276,0.00010701383092897806,8.69195564674099e-05,25,1181,0.07675460009550022,0.08884235880842112,0.11142310682179747,8.74200646070559
SMLR1,-0.09909140822670774,0.00011213534904008471,1.0301162821450111e-05,25,1181,0.07733457475529842,0.02739519080979258,0.03544469663844381,
SLAMF1,0.08213282894273202,0.00012583882136377815,0.0005731821689132393,25,1181,0.08084940131303311,0.15142108037396032,-0.0830300670378213,5.55455348679591
DEFB108B,0.3266179701458274,0.00012624969253052966,0.0001030488693957208,12,304,0.08084940131303311,0.08884235880842112,0.10208649220723112,0.0
PIAS1,0.15623826673369062,0.00013517028967492746,0.00012432825103473566,25,1181,0.08357718841934911,0.08917319477215381,-0.30521088640196925,8.543195870816794
KMT2B,0.10582975510892084,0.0001451579319747963,0.0014408017892260734,25,1181,0.08676089594133576,0.1806644537245645,-0.2891384415922004,10.423707970190664
LIG4,0.09342052324158742,0.00016908603081870389,0.0007492823732383663,25,1181,0.09780263285839287,0.16535959242124867,-0.0728526464493095,7.977544922005783
ZNF644,0.11257762571457433,0.0001751765309258474,0.0007122811373885743,25,1181,0.0981590742509803,0.16373246683254467,-0.08970327558216706,10.319657962710798
DDX3X,-0.2706076413963666,0.00020546146946765972,0.014217997807041466,25,1181,0.10233693358401684,0.3323897244824779,-0.8406797849665615,12.766689162344814
KDM5D,-0.07009539477576404,0.00020005977101360953,0.0012084836539577937,12,370,0.10233693358401684,0.17556784819530585,0.48232582627055715,0.0
TP53,-0.25000613070937544,0.00019150151733330094,0.12325852916758294,25,1181,0.10233693358401684,0.5908818710741851,0.42418459487545485,10.828068340500188
